nohup: 忽略输入
Building prefix dict from the default dictionary ...
 50/564 [=>............................] - ETA: 0:04<0:41 - loss: 53.4774 
 51/564 [=>............................] - ETA: 0:04<0:41 - loss: 52.9122 
 52/564 [=>............................] - ETA: 0:04<0:41 - loss: 52.3470 
 53/564 [=>............................] - ETA: 0:04<0:40 - loss: 51.7925 
 54/564 [=>............................] - ETA: 0:04<0:40 - loss: 51.2578 
 55/564 [=>............................] - ETA: 0:04<0:40 - loss: 50.7414 
 56/564 [=>............................] - ETA: 0:04<0:40 - loss: 50.2394 
 57/564 [==>...........................] - ETA: 0:04<0:40 - loss: 49.7433 
 58/564 [==>...........................] - ETA: 0:04<0:40 - loss: 49.2748 
 59/564 [==>...........................] - ETA: 0:04<0:40 - loss: 48.8161 
 60/564 [==>...........................] - ETA: 0:04<0:40 - loss: 48.3584 
 61/564 [==>...........................] - ETA: 0:04<0:40 - loss: 47.9050 
 62/564 [==>...........................] - ETA: 0:04<0:40 - loss: 47.4748 
 63/564 [==>...........................] - ETA: 0:05<0:40 - loss: 47.0513 
 64/564 [==>...........................] - ETA: 0:05<0:39 - loss: 46.6329 
 65/564 [==>...........................] - ETA: 0:05<0:39 - loss: 46.2308 
 66/564 [==>...........................] - ETA: 0:05<0:39 - loss: 45.8242 
 67/564 [==>...........................] - ETA: 0:05<0:39 - loss: 45.4332 
 68/564 [==>...........................] - ETA: 0:05<0:39 - loss: 45.0540 
 69/564 [==>...........................] - ETA: 0:05<0:39 - loss: 44.6881 
 70/564 [==>...........................] - ETA: 0:05<0:39 - loss: 44.3173 
 71/564 [==>...........................] - ETA: 0:05<0:39 - loss: 43.9458 
 72/564 [==>...........................] - ETA: 0:05<0:39 - loss: 43.5936 
 73/564 [==>...........................] - ETA: 0:05<0:39 - loss: 43.2491 
 74/564 [==>...........................] - ETA: 0:05<0:39 - loss: 42.9054 
 75/564 [==>...........................] - ETA: 0:05<0:38 - loss: 42.5652 
 76/564 [===>..........................] - ETA: 0:06<0:38 - loss: 42.2320 
 77/564 [===>..........................] - ETA: 0:06<0:38 - loss: 41.9179 
 78/564 [===>..........................] - ETA: 0:06<0:38 - loss: 41.5982 
 79/564 [===>..........................] - ETA: 0:06<0:38 - loss: 41.2829 
 80/564 [===>..........................] - ETA: 0:06<0:38 - loss: 40.9829 
 81/564 [===>..........................] - ETA: 0:06<0:38 - loss: 40.6825 
 82/564 [===>..........................] - ETA: 0:06<0:38 - loss: 40.3965 
 83/564 [===>..........................] - ETA: 0:06<0:38 - loss: 40.1102 
 84/564 [===>..........................] - ETA: 0:06<0:38 - loss: 39.8360 
 85/564 [===>..........................] - ETA: 0:06<0:38 - loss: 39.5602 
 86/564 [===>..........................] - ETA: 0:06<0:37 - loss: 39.2921 
 87/564 [===>..........................] - ETA: 0:06<0:37 - loss: 39.0299 
 88/564 [===>..........................] - ETA: 0:06<0:37 - loss: 38.7786 
 89/564 [===>..........................] - ETA: 0:07<0:37 - loss: 38.5246 
 90/564 [===>..........................] - ETA: 0:07<0:37 - loss: 38.2724 
 91/564 [===>..........................] - ETA: 0:07<0:37 - loss: 38.0225 
 92/564 [===>..........................] - ETA: 0:07<0:37 - loss: 37.7810 
 93/564 [===>..........................] - ETA: 0:07<0:37 - loss: 37.5458 
 94/564 [====>.........................] - ETA: 0:07<0:37 - loss: 37.3121 
 95/564 [====>.........................] - ETA: 0:07<0:37 - loss: 37.0892 
 96/564 [====>.........................] - ETA: 0:07<0:37 - loss: 36.8657 
 97/564 [====>.........................] - ETA: 0:07<0:37 - loss: 36.6450 
 98/564 [====>.........................] - ETA: 0:07<0:36 - loss: 36.4217 
 99/564 [====>.........................] - ETA: 0:07<0:36 - loss: 36.2042 
100/564 [====>.........................] - ETA: 0:07<0:36 - loss: 35.9922 
101/564 [====>.........................] - ETA: 0:08<0:36 - loss: 34.1675 
102/564 [====>.........................] - ETA: 0:08<0:36 - loss: 32.6776 
103/564 [====>.........................] - ETA: 0:08<0:36 - loss: 31.4388 
104/564 [====>.........................] - ETA: 0:08<0:36 - loss: 30.3547 
105/564 [====>.........................] - ETA: 0:08<0:36 - loss: 29.4180 
106/564 [====>.........................] - ETA: 0:08<0:36 - loss: 28.5742 
107/564 [====>.........................] - ETA: 0:08<0:36 - loss: 27.8173 
108/564 [====>.........................] - ETA: 0:08<0:36 - loss: 27.1202 
109/564 [====>.........................] - ETA: 0:08<0:36 - loss: 26.4827 
110/564 [====>.........................] - ETA: 0:08<0:35 - loss: 25.8995 
111/564 [====>.........................] - ETA: 0:08<0:35 - loss: 25.3545 
112/564 [====>.........................] - ETA: 0:08<0:35 - loss: 24.8481 
113/564 [=====>........................] - ETA: 0:08<0:35 - loss: 24.3790 
114/564 [=====>........................] - ETA: 0:09<0:35 - loss: 23.9449 
115/564 [=====>........................] - ETA: 0:09<0:35 - loss: 23.5278 
116/564 [=====>........................] - ETA: 0:09<0:35 - loss: 23.1437 
117/564 [=====>........................] - ETA: 0:09<0:35 - loss: 22.7836 
118/564 [=====>........................] - ETA: 0:09<0:35 - loss: 22.4304 
119/564 [=====>........................] - ETA: 0:09<0:35 - loss: 22.1004 
120/564 [=====>........................] - ETA: 0:09<0:35 - loss: 21.7855 
121/564 [=====>........................] - ETA: 0:09<0:35 - loss: 21.4898 
122/564 [=====>........................] - ETA: 0:09<0:35 - loss: 21.2044 
123/564 [=====>........................] - ETA: 0:09<0:34 - loss: 20.9362 
124/564 [=====>........................] - ETA: 0:09<0:34 - loss: 20.6680 
125/564 [=====>........................] - ETA: 0:09<0:34 - loss: 20.4195 
126/564 [=====>........................] - ETA: 0:09<0:34 - loss: 20.1758 
127/564 [=====>........................] - ETA: 0:10<0:34 - loss: 19.9358 
128/564 [=====>........................] - ETA: 0:10<0:34 - loss: 19.7126 
129/564 [=====>........................] - ETA: 0:10<0:34 - loss: 19.4934 
130/564 [=====>........................] - ETA: 0:10<0:34 - loss: 19.2787 
131/564 [=====>........................] - ETA: 0:10<0:34 - loss: 19.0627 
132/564 [======>.......................] - ETA: 0:10<0:34 - loss: 18.8661 
133/564 [======>.......................] - ETA: 0:10<0:34 - loss: 18.6751 
134/564 [======>.......................] - ETA: 0:10<0:34 - loss: 18.4862 
135/564 [======>.......................] - ETA: 0:10<0:33 - loss: 18.3064 
136/564 [======>.......................] - ETA: 0:10<0:33 - loss: 18.1252 
137/564 [======>.......................] - ETA: 0:10<0:33 - loss: 17.9562 
138/564 [======>.......................] - ETA: 0:10<0:33 - loss: 17.7884 
139/564 [======>.......................] - ETA: 0:10<0:33 - loss: 17.6215 
140/564 [======>.......................] - ETA: 0:11<0:33 - loss: 17.4606 
141/564 [======>.......................] - ETA: 0:11<0:33 - loss: 17.3038 
142/564 [======>.......................] - ETA: 0:11<0:33 - loss: 17.1596 
143/564 [======>.......................] - ETA: 0:11<0:33 - loss: 17.0190 
144/564 [======>.......................] - ETA: 0:11<0:33 - loss: 16.8827 
145/564 [======>.......................] - ETA: 0:11<0:33 - loss: 16.7508 
146/564 [======>.......................] - ETA: 0:11<0:33 - loss: 16.6303 
147/564 [======>.......................] - ETA: 0:11<0:33 - loss: 16.5029 
148/564 [======>.......................] - ETA: 0:11<0:32 - loss: 16.3836 
149/564 [======>.......................] - ETA: 0:11<0:32 - loss: 16.2653 
150/564 [======>.......................] - ETA: 0:11<0:32 - loss: 16.1460 
151/564 [=======>......................] - ETA: 0:11<0:32 - loss: 16.0267 
152/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.9232 
153/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.8209 
154/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.7189 
155/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.6162 
156/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.5185 
157/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.4237 
158/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.3226 
159/564 [=======>......................] - ETA: 0:12<0:32 - loss: 15.2250 
160/564 [=======>......................] - ETA: 0:12<0:31 - loss: 15.1391 
161/564 [=======>......................] - ETA: 0:12<0:31 - loss: 15.0536 
162/564 [=======>......................] - ETA: 0:12<0:31 - loss: 14.9640 
163/564 [=======>......................] - ETA: 0:12<0:31 - loss: 14.8801 
164/564 [=======>......................] - ETA: 0:12<0:31 - loss: 14.7970 
165/564 [=======>......................] - ETA: 0:13<0:31 - loss: 14.7164 
166/564 [=======>......................] - ETA: 0:13<0:31 - loss: 14.6437 
167/564 [=======>......................] - ETA: 0:13<0:31 - loss: 14.5718 
168/564 [=======>......................] - ETA: 0:13<0:31 - loss: 14.4983 
169/564 [=======>......................] - ETA: 0:13<0:31 - loss: 14.4193 
170/564 [========>.....................] - ETA: 0:13<0:31 - loss: 14.3584 
171/564 [========>.....................] - ETA: 0:13<0:31 - loss: 14.2976 
172/564 [========>.....................] - ETA: 0:13<0:31 - loss: 14.2318 
173/564 [========>.....................] - ETA: 0:13<0:30 - loss: 14.1734 
174/564 [========>.....................] - ETA: 0:13<0:30 - loss: 14.1147 
175/564 [========>.....................] - ETA: 0:13<0:30 - loss: 14.0636 
176/564 [========>.....................] - ETA: 0:13<0:30 - loss: 14.0108 
177/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.9564 
178/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.9084 
179/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.8599 
180/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.8086 
181/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.7588 
182/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.7074 
183/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.6634 
184/564 [========>.....................] - ETA: 0:14<0:30 - loss: 13.6105 
185/564 [========>.....................] - ETA: 0:14<0:29 - loss: 13.5624 
186/564 [========>.....................] - ETA: 0:14<0:29 - loss: 13.5220 
187/564 [========>.....................] - ETA: 0:14<0:29 - loss: 13.4749 
188/564 [=========>....................] - ETA: 0:14<0:29 - loss: 13.4246 
189/564 [=========>....................] - ETA: 0:14<0:29 - loss: 13.3815 
190/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.3437 
191/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.3037 
192/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.2635 
193/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.2223 
194/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.1842 
195/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.1372 
196/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.0995 
197/564 [=========>....................] - ETA: 0:15<0:29 - loss: 13.0605 
198/564 [=========>....................] - ETA: 0:15<0:28 - loss: 13.0331 
199/564 [=========>....................] - ETA: 0:15<0:28 - loss: 12.9979 
200/564 [=========>....................] - ETA: 0:15<0:28 - loss: 12.9597 
201/564 [=========>....................] - ETA: 0:15<0:28 - loss: 12.9285 
202/564 [=========>....................] - ETA: 0:15<0:28 - loss: 12.8987 
203/564 [=========>....................] - ETA: 0:16<0:28 - loss: 12.8610 
204/564 [=========>....................] - ETA: 0:16<0:28 - loss: 12.8224 
205/564 [=========>....................] - ETA: 0:16<0:28 - loss: 12.7996 
206/564 [=========>....................] - ETA: 0:16<0:28 - loss: 12.7674 
207/564 [==========>...................] - ETA: 0:16<0:28 - loss: 12.7301 
208/564 [==========>...................] - ETA: 0:16<0:28 - loss: 12.6985 
209/564 [==========>...................] - ETA: 0:16<0:28 - loss: 12.6614 
210/564 [==========>...................] - ETA: 0:16<0:27 - loss: 12.6229 
211/564 [==========>...................] - ETA: 0:16<0:27 - loss: 12.5828 
212/564 [==========>...................] - ETA: 0:16<0:27 - loss: 12.5515 
213/564 [==========>...................] - ETA: 0:16<0:27 - loss: 12.5244 
214/564 [==========>...................] - ETA: 0:16<0:27 - loss: 12.4944 
215/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.4663 
216/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.4402 
217/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.4157 
218/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.3879 
219/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.3623 
220/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.3379 
221/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.3099 
222/564 [==========>...................] - ETA: 0:17<0:27 - loss: 12.2777 
223/564 [==========>...................] - ETA: 0:17<0:26 - loss: 12.2472 
224/564 [==========>...................] - ETA: 0:17<0:26 - loss: 12.2210 
225/564 [==========>...................] - ETA: 0:17<0:26 - loss: 12.1978 
226/564 [===========>..................] - ETA: 0:17<0:26 - loss: 12.1681 
227/564 [===========>..................] - ETA: 0:17<0:26 - loss: 12.1466 
228/564 [===========>..................] - ETA: 0:18<0:26 - loss: 12.1193 
229/564 [===========>..................] - ETA: 0:18<0:26 - loss: 12.0938 
230/564 [===========>..................] - ETA: 0:18<0:26 - loss: 12.0713 
231/564 [===========>..................] - ETA: 0:18<0:26 - loss: 12.0527 
232/564 [===========>..................] - ETA: 0:18<0:26 - loss: 12.0261 
233/564 [===========>..................] - ETA: 0:18<0:26 - loss: 11.9986 
234/564 [===========>..................] - ETA: 0:18<0:26 - loss: 11.9710 
235/564 [===========>..................] - ETA: 0:18<0:26 - loss: 11.9461 
236/564 [===========>..................] - ETA: 0:18<0:25 - loss: 11.9193 
237/564 [===========>..................] - ETA: 0:18<0:25 - loss: 11.8942 
238/564 [===========>..................] - ETA: 0:18<0:25 - loss: 11.8755 
239/564 [===========>..................] - ETA: 0:18<0:25 - loss: 11.8468 
240/564 [===========>..................] - ETA: 0:18<0:25 - loss: 11.8189 
241/564 [===========>..................] - ETA: 0:19<0:25 - loss: 11.7965 
242/564 [===========>..................] - ETA: 0:19<0:25 - loss: 11.7743 
243/564 [===========>..................] - ETA: 0:19<0:25 - loss: 11.7496 
244/564 [===========>..................] - ETA: 0:19<0:25 - loss: 11.7266 
245/564 [============>.................] - ETA: 0:19<0:25 - loss: 11.7021 
246/564 [============>.................] - ETA: 0:19<0:25 - loss: 11.6771 
247/564 [============>.................] - ETA: 0:19<0:25 - loss: 11.6541 
248/564 [============>.................] - ETA: 0:19<0:24 - loss: 11.6258 
249/564 [============>.................] - ETA: 0:19<0:24 - loss: 11.5984 
250/564 [============>.................] - ETA: 0:19<0:24 - loss: 11.5746 
251/564 [============>.................] - ETA: 0:19<0:24 - loss: 11.5567 
252/564 [============>.................] - ETA: 0:19<0:24 - loss: 11.5354 
253/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.5174 
254/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.5014 
255/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.4812 
256/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.4563 
257/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.4335 
258/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.4156 
259/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.3969 
260/564 [============>.................] - ETA: 0:20<0:24 - loss: 11.3765 
261/564 [============>.................] - ETA: 0:20<0:23 - loss: 11.3632 
262/564 [============>.................] - ETA: 0:20<0:23 - loss: 11.3441 
263/564 [============>.................] - ETA: 0:20<0:23 - loss: 11.3249 
264/564 [=============>................] - ETA: 0:20<0:23 - loss: 11.3127 
265/564 [=============>................] - ETA: 0:20<0:23 - loss: 11.2978 
266/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.2904 
267/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.2735 
268/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.2522 
269/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.2389 
270/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.2192 
271/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.2055 
272/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.1906 
273/564 [=============>................] - ETA: 0:21<0:23 - loss: 11.1716 
274/564 [=============>................] - ETA: 0:21<0:22 - loss: 11.1535 
275/564 [=============>................] - ETA: 0:21<0:22 - loss: 11.1387 
276/564 [=============>................] - ETA: 0:21<0:22 - loss: 11.1222 
277/564 [=============>................] - ETA: 0:21<0:22 - loss: 11.1088 
278/564 [=============>................] - ETA: 0:21<0:22 - loss: 11.0967 
279/564 [=============>................] - ETA: 0:22<0:22 - loss: 11.0855 
280/564 [=============>................] - ETA: 0:22<0:22 - loss: 11.0688 
281/564 [=============>................] - ETA: 0:22<0:22 - loss: 11.0552 
282/564 [==============>...............] - ETA: 0:22<0:22 - loss: 11.0387 
283/564 [==============>...............] - ETA: 0:22<0:22 - loss: 11.0221 
284/564 [==============>...............] - ETA: 0:22<0:22 - loss: 11.0061 
285/564 [==============>...............] - ETA: 0:22<0:22 - loss: 11.0007 
286/564 [==============>...............] - ETA: 0:22<0:21 - loss: 10.9801 
287/564 [==============>...............] - ETA: 0:22<0:21 - loss: 10.9672 
288/564 [==============>...............] - ETA: 0:22<0:21 - loss: 10.9576 
289/564 [==============>...............] - ETA: 0:22<0:21 - loss: 10.9466 
290/564 [==============>...............] - ETA: 0:22<0:21 - loss: 10.9304 
291/564 [==============>...............] - ETA: 0:22<0:21 - loss: 10.9180 
292/564 [==============>...............] - ETA: 0:23<0:21 - loss: 10.9053 
293/564 [==============>...............] - ETA: 0:23<0:21 - loss: 10.8916 
294/564 [==============>...............] - ETA: 0:23<0:21 - loss: 10.8833 
295/564 [==============>...............] - ETA: 0:23<0:21 - loss: 10.8714 
296/564 [==============>...............] - ETA: 0:23<0:21 - loss: 10.8575 
297/564 [==============>...............] - ETA: 0:23<0:21 - loss: 10.8446 
298/564 [==============>...............] - ETA: 0:23<0:21 - loss: 10.8342 
299/564 [==============>...............] - ETA: 0:23<0:20 - loss: 10.8234 
300/564 [==============>...............] - ETA: 0:23<0:20 - loss: 10.8168 
301/564 [===============>..............] - ETA: 0:23<0:20 - loss: 10.8070 
302/564 [===============>..............] - ETA: 0:23<0:20 - loss: 10.8026 
303/564 [===============>..............] - ETA: 0:23<0:20 - loss: 10.7947 
304/564 [===============>..............] - ETA: 0:24<0:20 - loss: 10.7886 
305/564 [===============>..............] - ETA: 0:24<0:20 - loss: 10.7731 
306/564 [===============>..............] - ETA: 0:24<0:20 - loss: 10.7646 
307/564 [===============>..............] - ETA: 0:24<0:20 - loss: 10.7618 
308/564 [===============>..............] - ETA: 0:24<0:20 - loss: 10.7464 
309/564 [===============>..............] - ETA: 0:24<0:20 - loss: 10.7275 
310/564 [===============>..............] - ETA: 0:24<0:20 - loss: 10.7306 
311/564 [===============>..............] - ETA: 0:24<0:19 - loss: 10.7371 
312/564 [===============>..............] - ETA: 0:24<0:19 - loss: 10.7474 
313/564 [===============>..............] - ETA: 0:24<0:19 - loss: 10.7484 
314/564 [===============>..............] - ETA: 0:24<0:19 - loss: 10.7483 
315/564 [===============>..............] - ETA: 0:24<0:19 - loss: 10.7376 
316/564 [===============>..............] - ETA: 0:24<0:19 - loss: 10.7359 
317/564 [===============>..............] - ETA: 0:25<0:19 - loss: 10.7306 
318/564 [===============>..............] - ETA: 0:25<0:19 - loss: 10.7266 
319/564 [===============>..............] - ETA: 0:25<0:19 - loss: 10.7290 
320/564 [================>.............] - ETA: 0:25<0:19 - loss: 10.7316 
321/564 [================>.............] - ETA: 0:25<0:19 - loss: 10.7269 
322/564 [================>.............] - ETA: 0:25<0:19 - loss: 10.7236 
323/564 [================>.............] - ETA: 0:25<0:19 - loss: 10.7230 
324/564 [================>.............] - ETA: 0:25<0:18 - loss: 10.7170 
325/564 [================>.............] - ETA: 0:25<0:18 - loss: 10.7054 
326/564 [================>.............] - ETA: 0:25<0:18 - loss: 10.7037 
327/564 [================>.............] - ETA: 0:25<0:18 - loss: 10.6986 
328/564 [================>.............] - ETA: 0:25<0:18 - loss: 10.6869 
329/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6815 
330/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6726 
331/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6668 
332/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6652 
333/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6637 
334/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6641 
335/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6599 
336/564 [================>.............] - ETA: 0:26<0:18 - loss: 10.6556 
337/564 [================>.............] - ETA: 0:26<0:17 - loss: 10.6519 
338/564 [================>.............] - ETA: 0:26<0:17 - loss: 10.6433 
339/564 [=================>............] - ETA: 0:26<0:17 - loss: 10.6402 
340/564 [=================>............] - ETA: 0:26<0:17 - loss: 10.6366 
341/564 [=================>............] - ETA: 0:26<0:17 - loss: 10.6305 
342/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.6206 
343/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.6209 
344/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.6157 
345/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.6087 
346/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.6012 
347/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.6061 
348/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.5959 
349/564 [=================>............] - ETA: 0:27<0:17 - loss: 10.5926 
350/564 [=================>............] - ETA: 0:27<0:16 - loss: 10.5891 
351/564 [=================>............] - ETA: 0:27<0:16 - loss: 10.5846 
352/564 [=================>............] - ETA: 0:27<0:16 - loss: 10.5779 
353/564 [=================>............] - ETA: 0:27<0:16 - loss: 10.5712 
354/564 [=================>............] - ETA: 0:28<0:16 - loss: 10.5617 
355/564 [=================>............] - ETA: 0:28<0:16 - loss: 10.5602 
356/564 [=================>............] - ETA: 0:28<0:16 - loss: 10.5566 
357/564 [=================>............] - ETA: 0:28<0:16 - loss: 10.5592 
358/564 [==================>...........] - ETA: 0:28<0:16 - loss: 10.5532 
359/564 [==================>...........] - ETA: 0:28<0:16 - loss: 10.5471 
360/564 [==================>...........] - ETA: 0:28<0:16 - loss: 10.5424 
361/564 [==================>...........] - ETA: 0:28<0:16 - loss: 10.5366 
362/564 [==================>...........] - ETA: 0:28<0:15 - loss: 10.5339 
363/564 [==================>...........] - ETA: 0:28<0:15 - loss: 10.5319 
364/564 [==================>...........] - ETA: 0:28<0:15 - loss: 10.5242 
365/564 [==================>...........] - ETA: 0:28<0:15 - loss: 10.5152 
366/564 [==================>...........] - ETA: 0:28<0:15 - loss: 10.5012 
367/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4979 
368/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4991 
369/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4970 
370/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4928 
371/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4897 
372/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4830 
373/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4742 
374/564 [==================>...........] - ETA: 0:29<0:15 - loss: 10.4744 
375/564 [==================>...........] - ETA: 0:29<0:14 - loss: 10.4673 
376/564 [===================>..........] - ETA: 0:29<0:14 - loss: 10.4642 
377/564 [===================>..........] - ETA: 0:29<0:14 - loss: 10.4535 
378/564 [===================>..........] - ETA: 0:29<0:14 - loss: 10.4455 
379/564 [===================>..........] - ETA: 0:29<0:14 - loss: 10.4352 
380/564 [===================>..........] - ETA: 0:30<0:14 - loss: 10.4282 
381/564 [===================>..........] - ETA: 0:30<0:14 - loss: 10.4226 
382/564 [===================>..........] - ETA: 0:30<0:14 - loss: 10.4151 
383/564 [===================>..........] - ETA: 0:30<0:14 - loss: 10.4059 
