id,survey_type,province,city,county,gender,nationality,religion,religion_freq,edu,edu_status,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_edu,f_political,f_work_14,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,survey_year,survey_hour,survey_week_day,age,has_edu_yer,edu_age,s_age,f_age,m_age,marital_1st_age,marital_now_age,if_exp_inc
11,1,6,15,31,2,1.0,1.0,1.0,6.0,4.0,24000.0,1.0,200.0,0,1,1,0,0,0,0,0,0,165,100,4.0,4.0,5.0,1,2.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,5,-1.0,15.328795811518324,-1.0,-1.0,2.0,1.0,2.0,2.0,60000.0,5.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,2.0,2.0,3,5.0,1.0,1.0,36000.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,50000.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,-1.0,4.0,3.0,4.0,78.0,80.0,80.0,80.0,80.0,79.0,81.0,80.0,80.0,2015,19,6,27,1,20.0,26.0,47.0,47.0,26.0,26.0,0
12,2,23,69,109,1,1.0,0.0,3.0,1.0,-1.0,8000.0,1.0,199.0,0,1,1,1,0,0,0,0,0,173,120,4.0,2.0,2.0,1,1.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,1.0,2.0,6.0,6.0,7.0,5.0,4,-1.0,15.328795811518324,-1.0,-1.0,1.0,2.0,2.0,2.0,16500.0,3.0,3.0,3.0,2.0,0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,3,1.0,1.0,1.0,8000.0,4.0,-1.0,-1.0,10.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,40000.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,100.0,20.0,60.0,70.0,60.0,80.0,62.0,52.0,75.0,2015,19,2,47,0,0.0,45.0,70.0,67.0,22.0,22.0,0
13,1,21,64,100,1,1.0,1.0,3.0,10.0,4.0,36000.0,4.0,80.0,0,1,1,0,0,1,0,0,0,171,120,4.0,5.0,4.0,2,1.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,5.0,4.0,1.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,1,3.0,35.0,1.0,3.0,1.0,1.0,2.0,2.0,36000.0,2.0,2.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,3,7.0,1.0,2.0,0.0,5.0,-1.0,-1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,50000.0,2.0,3.0,-1.0,-1.0,4.0,3.0,2.0,3.0,3.0,4.0,-1.0,-1.0,1.0,4.0,80.0,80.0,70.0,70.0,70.0,70.0,70.0,70.0,60.0,2015,9,5,51,1,20.0,48.0,87.0,79.0,26.0,26.0,0
14,1,4,7,14,2,1.0,1.0,1.0,3.0,2.0,40000.0,1.0,56.0,0,1,0,0,0,0,0,0,0,156,115,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,-1.0,-1.0,1.0,3.0,1.0,7.0,1.0,4.0,5,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,90000.0,2.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,4.0,0.0,3,4.0,4.0,5.0,50000.0,5.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,40000.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,5.0,2.0,3.0,80.0,70.0,70.0,65.0,70.0,60.0,80.0,80.0,70.0,2015,16,6,76,0,0.0,75.0,99.0,98.0,18.0,18.0,1
15,2,15,41,72,2,1.0,0.0,4.0,1.0,-1.0,1000.0,1.0,40.0,0,0,1,0,0,0,0,0,0,136,65,1.0,-1.0,-1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,3.0,-1.0,4,-1.0,15.328795811518324,-1.0,-1.0,1.0,-1.0,2.0,2.0,30000.0,4.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,3,1.0,1.0,1.0,9000.0,4.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,3.0,2.0,3.0,2.0,50000.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,-1.0,2.0,5.0,73.08366197183099,80.0,70.0,69.30834283542379,66.36057186573586,69.2766037381422,80.0,69.60936145622652,80.0,2015,15,2,80,0,0.0,79.0,0.0,0.0,25.0,25.0,0
16,2,29,82,124,1,1.0,1.0,1.0,4.0,2.0,45000.0,1.0,120.0,0,0,0,0,1,0,0,0,0,185,185,4.0,5.0,3.0,1,1.0,2.0,2.0,2.0,5.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,4.0,1.0,5.0,7.0,1.0,4.0,6.0,3.0,-1.0,5.0,1,3.0,8.0,1.0,3.0,1.0,1.0,1.0,2.0,50000.0,5.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,3,4.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,15.0,2.0,1.0,5.0,2.0,60000.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,-1.0,2.0,2.0,5.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,60.0,70.04335889425353,2015,14,2,32,1,15.0,28.0,70.0,70.0,30.0,30.0,0
17,1,6,16,32,2,1.0,0.0,4.0,4.0,4.0,0.0,2.0,63.0,0,1,1,0,0,0,0,0,0,162,120,2.0,3.0,3.0,1,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,4.0,6.0,3.0,5,-1.0,15.328795811518324,-1.0,-1.0,1.0,2.0,2.0,2.0,36000.0,3.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,3,5.0,1.0,2.0,36000.0,1.0,3.0,1.0,-1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,20000.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,80.0,70.0,70.0,80.0,70.0,60.0,70.0,80.0,80.0,2015,10,0,41,1,15.0,38.0,83.0,0.0,26.0,26.0,0
18,2,31,87,131,2,1.0,0.0,8.0,6.0,4.0,0.0,1.0,90.0,0,1,1,0,0,0,0,0,0,155,90,2.0,2.0,3.0,1,1.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,1.0,1.0,20000.0,1.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,2.0,0.0,3,4.0,1.0,1.0,20000.0,3.0,-1.0,-1.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,50000.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,50.0,50.0,50.0,50.0,50.0,50.0,30.0,40.0,50.0,2015,9,0,53,1,17.0,55.0,93.0,93.0,23.0,23.0,0
19,1,4,7,16,1,1.0,1.0,1.0,7.0,4.0,100000.0,1.0,77.0,0,1,0,0,0,0,0,0,0,170,135,5.0,5.0,5.0,4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,4.0,1,2.0,17.0,1.0,2.0,1.0,1.0,2.0,2.0,200000.0,5.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0,3,7.0,1.0,5.0,50000.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,10000000.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,80.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,2015,10,6,39,1,22.0,35.0,70.0,70.0,30.0,30.0,0
20,1,4,7,22,1,1.0,1.0,1.0,4.0,4.0,100000.0,4.0,91.0,0,0,1,0,0,0,0,0,0,175,160,5.0,5.0,5.0,2,1.0,4.0,2.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,6.0,5.0,6.0,3.0,1,2.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,100000.0,4.0,3.0,2.0,1.0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,4.0,1.0,2.0,0.0,4.0,-1.0,-1.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,120000.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,1.0,5.0,60.0,50.0,40.0,50.0,50.0,80.0,80.0,80.0,80.0,2015,9,4,50,1,16.0,52.0,76.0,71.0,21.0,21.0,0
21,1,27,79,119,1,3.0,1.0,1.0,4.0,4.0,25000.0,1.0,71.0,0,0,1,0,0,0,0,0,0,165,130,2.0,2.0,3.0,2,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,5,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,80000.0,5.0,2.0,1.0,2.0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,3,4.0,1.0,2.0,20000.0,5.0,-1.0,-1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,60000.0,2.0,1.0,-1.0,-1.0,5.0,4.0,2.0,3.0,2.0,5.0,-1.0,-1.0,1.0,4.0,50.0,50.0,60.0,50.0,60.0,60.0,50.0,50.0,50.0,2015,9,5,64,1,16.0,62.0,86.0,86.0,25.0,25.0,0
22,2,9,21,43,2,1.0,1.0,1.0,1.0,-1.0,2000.0,1.0,100.0,0,0,1,0,0,0,0,0,0,160,120,1.0,2.0,2.0,1,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,3.0,7.0,2.0,4.0,1.0,1.0,4.0,1.0,4,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,20000.0,6.0,3.0,1.0,1.0,0,1,0,0,0,0,0,0,0,1.0,3.0,0.0,3,3.0,1.0,1.0,4000.0,3.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,1000.0,4.0,4.0,4.0,4.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,-1.0,-1.0,3.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2015,8,6,67,0,0.0,66.0,0.0,0.0,22.0,22.0,1
23,1,21,62,98,2,1.0,1.0,1.0,3.0,4.0,5000.0,1.0,220.0,0,0,0,0,0,1,0,0,0,154,90,4.0,4.0,3.0,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,5.0,4.0,6.0,1.0,4,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,40000.0,5.0,2.0,1.0,2.0,0,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3,4.0,1.0,1.0,30000.0,3.0,-1.0,-1.0,3.0,1.0,2.0,1.0,1.0,15.0,2.0,2.0,4.0,3.0,72466.43897578958,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,-1.0,-1.0,1.0,3.0,60.0,70.0,50.0,50.0,60.0,40.0,60.0,40.0,70.0,2015,10,5,35,1,12.0,33.0,63.0,52.0,23.0,23.0,0
24,1,19,57,92,1,1.0,1.0,1.0,6.0,2.0,48000.0,1.0,80.0,0,0,0,0,0,0,0,0,1,172,120,3.0,3.0,3.0,4,1.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0,5.0,5.0,1.0,4.0,7.0,5.0,7.0,3.0,5,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,48000.0,1.0,3.0,0.0,2.0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,4.0,1.0,5.0,0.0,5.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,1.0,3.0,-1.0,72466.43897578958,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,2.0,2.0,80.0,85.0,70.0,90.0,70.0,75.0,90.0,90.0,90.0,2015,10,4,73,0,0.0,69.0,0.0,0.0,25.0,25.0,0
25,1,12,32,58,1,1.0,1.0,1.0,6.0,4.0,32805.33185371032,1.0,63.0,0,1,0,0,0,0,0,0,0,165,65,4.0,5.0,5.0,2,1.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,1.0,2.0,4.0,4.0,6.0,2.0,3.0,1.0,4.0,4.0,6.0,2.0,5,-1.0,15.328795811518324,-1.0,-1.0,1.0,1.0,2.0,2.0,90000.0,3.0,3.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,3,6.0,4.0,5.0,50000.0,1.0,3.0,1.0,3.0,1.0,1.0,-1.0,1.0,5.0,2.0,2.0,4.0,-1.0,72466.43897578958,2.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,2.0,80.0,80.0,60.0,80.0,60.0,50.0,80.0,60.0,90.0,2015,19,2,59,1,23.0,77.0,97.0,0.0,4.0,4.0,0
